iter	RMSE
0	22682.46042
1	22345.51932
2	22023.42037
3	21722.90214
4	21418.71505
5	21126.33923
6	20852.54517
7	20604.79148
8	20353.606
9	20129.56476
10	19888.59644
11	19662.11446
12	19452.70428
13	19248.75452
14	19056.60947
15	18856.64776
16	18682.33585
17	18508.72698
18	18324.12825
19	18155.45311
20	17986.06337
21	17825.97963
22	17682.10856
23	17544.20695
24	17410.96132
25	17255.43236
26	17127.78242
27	17011.39972
28	16869.11804
29	16752.50893
30	16640.8456
31	16535.1073
32	16416.9199
33	16323.48982
34	16220.93216
35	16128.74737
36	16025.15809
37	15937.16067
38	15854.47581
39	15749.61428
40	15657.25444
41	15565.73872
42	15480.91866
43	15402.66217
44	15324.39289
45	15243.39473
46	15179.37325
47	15117.2168
48	15038.04308
49	14975.23805
50	14919.77482
51	14858.19194
52	14795.9271
53	14720.35779
54	14659.18752
55	14588.25921
56	14527.30803
57	14466.38793
58	14402.85664
59	14345.0403
60	14283.78161
61	14231.21858
62	14178.30452
63	14125.28316
64	14077.47537
65	14026.44113
66	13979.53079
67	13933.35552
68	13889.97388
69	13844.29014
70	13795.85452
71	13749.40121
72	13701.96641
73	13666.62782
74	13627.62674
75	13586.80668
76	13550.80886
77	13510.63151
78	13470.39379
79	13432.75104
80	13390.49391
81	13350.79762
82	13315.67798
83	13281.33975
84	13248.97359
85	13210.58058
86	13170.79303
87	13132.65469
88	13101.89371
89	13070.94687
90	13041.34992
91	13009.09631
92	12972.30321
93	12941.7786
94	12913.38006
95	12884.22564
96	12859.31781
97	12831.23657
98	12804.75597
99	12775.32064
100	12743.3173
101	12712.43822
102	12688.83824
103	12666.08151
104	12633.47159
105	12607.75516
106	12584.03958
107	12561.26353
108	12534.84477
109	12511.72482
110	12481.96316
111	12450.44391
112	12432.30586
113	12407.48861
114	12383.67704
115	12367.62806
116	12342.43278
117	12313.54476
118	12290.1049
119	12260.61467
120	12235.40177
121	12221.03868
122	12195.89294
123	12173.44415
124	12151.87591
125	12128.82518
126	12108.57415
127	12084.28553
128	12064.94674
129	12042.95065
130	12023.28518
131	12006.80335
132	11984.17648
133	11966.43106
134	11940.17312
135	11920.84881
136	11904.4028
137	11885.87022
138	11867.23329
139	11843.54577
140	11823.26115
141	11806.74983
142	11789.3455
143	11777.20344
144	11763.5757
145	11746.13979
146	11731.10586
147	11717.65558
148	11701.43721
149	11686.12058
150	11669.5311
151	11644.1572
152	11632.36756
153	11616.87238
154	11602.84295
155	11586.50214
156	11572.82525
157	11552.5373
158	11538.09391
159	11525.12135
160	11510.68238
161	11498.39121
162	11489.39536
163	11475.51276
164	11456.66217
165	11442.06344
166	11422.41957
167	11409.78346
168	11399.08619
169	11386.55723
170	11375.25689
171	11354.66582
172	11334.9898
173	11316.66813
174	11303.51633
175	11292.90801
176	11283.37862
177	11269.9553
178	11255.04984
179	11243.12339
180	11232.85686
181	11217.10407
182	11199.61716
183	11187.13758
184	11171.52542
185	11161.1678
186	11150.95072
187	11138.1029
188	11127.96846
189	11114.10034
190	11105.10626
191	11093.32124
192	11080.29352
193	11069.66677
194	11061.11991
195	11048.65477
196	11034.58482
197	11021.28003
198	11007.01844
199	10989.99614
200	10980.86503
201	10968.17126
202	10958.23607
203	10949.79905
204	10937.73728
205	10927.02234
206	10915.52663
207	10905.40746
208	10898.66212
209	10889.09796
210	10881.22311
211	10873.35807
212	10862.47703
213	10851.94122
214	10836.61573
215	10822.17082
216	10810.71271
217	10800.12729
218	10789.91221
219	10783.40289
220	10772.41069
221	10762.034
222	10752.50468
223	10744.14042
224	10732.2153
225	10724.01398
226	10714.23845
227	10706.22513
228	10697.6329
229	10686.18622
230	10674.66843
231	10662.73118
232	10652.46208
233	10644.39393
234	10639.0224
235	10631.11652
236	10622.14831
237	10608.90557
238	10597.94755
239	10589.948
240	10580.98163
241	10571.26095
242	10563.243
243	10553.36978
