iter	Passed	Remaining
0	88	177785
1	123	123449
2	156	104068
3	185	92590
4	213	85260
5	243	80992
6	275	78403
7	311	77682
8	345	76398
9	375	74784
10	401	72673
11	427	70819
12	458	70007
13	492	69838
14	524	69365
15	556	69000
16	586	68355
17	616	67907
18	647	67560
19	678	67141
20	709	66833
21	740	66575
22	769	66136
23	802	66112
24	829	65505
25	856	64994
26	886	64768
27	911	64230
28	939	63836
29	971	63818
30	997	63327
31	1025	63071
32	1053	62823
33	1078	62382
34	1107	62184
35	1133	61823
36	1159	61513
37	1185	61206
38	1209	60817
39	1236	60569
40	1268	60600
41	1294	60340
42	1325	60309
43	1352	60115
44	1381	60030
45	1410	59902
46	1432	59545
47	1458	59299
48	1484	59119
49	1514	59072
50	1538	58797
51	1565	58644
52	1596	58659
53	1623	58513
54	1653	58467
55	1681	58382
56	1709	58289
57	1736	58139
58	1764	58037
59	1790	57903
60	1822	57934
61	1847	57735
62	1877	57719
63	1902	57557
64	1931	57503
65	1956	57330
66	1982	57205
67	2011	57142
68	2038	57051
69	2065	56946
70	2092	56850
71	2122	56840
72	2151	56795
73	2176	56654
74	2204	56579
75	2236	56617
76	2267	56618
77	2296	56590
78	2325	56554
79	2351	56437
80	2375	56276
81	2402	56193
82	2431	56149
83	2461	56149
84	2492	56144
85	2519	56062
86	2547	56008
87	2571	55873
88	2596	55750
89	2620	55611
90	2645	55496
91	2669	55359
92	2698	55343
93	2724	55251
94	2753	55214
95	2780	55137
96	2811	55156
97	2838	55096
98	2865	55022
99	2889	54895
100	2914	54791
101	2940	54724
102	2966	54627
103	2991	54539
104	3017	54467
105	3042	54355
106	3065	54235
107	3089	54130
108	3117	54078
109	3147	54071
110	3173	53999
111	3201	53974
112	3224	53845
113	3251	53797
114	3276	53702
115	3298	53569
116	3328	53562
117	3355	53512
118	3383	53474
119	3413	53482
120	3437	53383
121	3463	53311
122	3489	53254
123	3516	53200
124	3540	53108
125	3563	52994
126	3584	52857
127	3609	52791
128	3637	52751
129	3663	52703
130	3692	52677
131	3718	52623
132	3746	52589
133	3770	52509
134	3798	52471
135	3823	52407
136	3853	52401
137	3879	52348
138	3905	52283
139	3931	52228
140	3957	52182
141	3979	52073
142	4002	51975
143	4027	51911
144	4052	51849
145	4078	51788
146	4103	51732
147	4132	51711
148	4158	51661
149	4181	51568
150	4206	51514
151	4236	51511
152	4261	51441
153	4289	51419
154	4312	51336
155	4338	51282
156	4363	51221
157	4392	51212
158	4417	51151
159	4447	51143
160	4475	51121
161	4496	51010
162	4521	50961
163	4547	50904
164	4577	50912
165	4606	50888
166	4636	50893
167	4664	50870
168	4692	50837
169	4717	50777
170	4741	50715
171	4773	50730
172	4805	50754
173	4833	50728
174	4857	50659
175	4885	50626
176	4906	50538
177	4933	50496
178	4959	50452
179	4986	50415
180	5008	50334
181	5032	50272
182	5060	50242
183	5086	50202
184	5114	50177
185	5139	50125
186	5166	50085
187	5190	50026
188	5212	49949
189	5238	49901
190	5260	49823
191	5287	49788
192	5311	49727
193	5333	49648
194	5358	49596
195	5383	49551
196	5410	49517
197	5439	49500
198	5466	49470
199	5496	49470
200	5521	49422
201	5547	49382
202	5575	49356
203	5598	49291
204	5624	49248
205	5651	49213
206	5678	49183
207	5704	49143
208	5728	49090
209	5756	49070
210	5778	48990
211	5804	48953
212	5831	48927
213	5861	48917
214	5891	48913
215	5921	48905
216	5953	48915
217	5984	48922
218	6014	48911
219	6037	48852
220	6067	48840
221	6090	48778
222	6118	48757
223	6143	48709
224	6174	48707
225	6203	48692
226	6231	48671
227	6255	48618
228	6279	48559
229	6304	48514
230	6328	48466
231	6352	48408
232	6374	48339
233	6402	48317
234	6429	48291
235	6457	48264
236	6482	48224
237	6510	48202
238	6537	48167
239	6559	48105
240	6587	48080
241	6614	48052
242	6638	47997
243	6663	47957
244	6688	47910
245	6713	47865
246	6741	47847
247	6769	47824
248	6797	47800
249	6823	47765
250	6851	47741
251	6880	47725
252	6904	47678
253	6932	47654
254	6955	47596
255	6981	47564
256	7008	47534
257	7031	47477
258	7055	47430
259	7083	47406
260	7109	47370
261	7134	47328
262	7164	47319
263	7192	47298
264	7223	47293
265	7253	47282
266	7284	47278
267	7314	47268
268	7343	47253
269	7376	47265
270	7410	47278
271	7443	47285
272	7474	47286
273	7500	47245
274	7527	47217
275	7558	47215
276	7589	47208
277	7617	47183
278	7651	47198
279	7675	47148
280	7700	47104
281	7726	47070
282	7754	47049
283	7777	46994
284	7803	46960
285	7833	46947
286	7868	46964
287	7899	46957
288	7926	46927
289	7956	46914
290	7982	46880
291	8008	46844
292	8035	46814
293	8062	46784
294	8088	46747
295	8114	46712
296	8138	46667
297	8162	46616
298	8190	46593
299	8213	46541
300	8239	46508
301	8267	46481
302	8290	46431
303	8316	46396
304	8345	46381
305	8369	46332
306	8396	46303
307	8425	46287
308	8462	46312
309	8490	46285
310	8525	46303
311	8557	46296
312	8589	46293
313	8616	46265
314	8641	46227
315	8665	46179
316	8691	46142
317	8718	46116
318	8743	46073
319	8770	46044
320	8795	46003
321	8822	45977
322	8850	45950
323	8876	45917
324	8900	45872
325	8927	45842
326	8953	45806
327	8986	45807
328	9020	45816
329	9052	45808
330	9082	45797
331	9113	45788
332	9143	45770
333	9172	45750
334	9195	45704
335	9224	45683
336	9248	45636
337	9275	45608
338	9299	45567
339	9324	45524
340	9351	45497
341	9376	45455
342	9399	45408
343	9421	45354
344	9447	45322
345	9474	45291
346	9500	45255
347	9524	45215
348	9556	45207
349	9582	45174
350	9610	45151
351	9634	45106
352	9662	45083
353	9694	45075
354	9721	45049
355	9752	45035
356	9786	45040
